reaction_time:0ship_height:500,[nan]
reaction_time:535ship_height:500,[0.69569835]
reaction_time:536ship_height:500,[0.68629581]
reaction_time:537ship_height:500,[0.70330724]
reaction_time:538ship_height:500,[0.68910843]
reaction_time:539ship_height:500,[0.69289513]
reaction_time:540ship_height:500,[0.68726038]
reaction_time:541ship_height:500,[0.68108902]
reaction_time:542ship_height:500,[0.6940585]
reaction_time:543ship_height:500,[0.70203128]
reaction_time:544ship_height:500,[0.69036776]
reaction_time:545ship_height:500,[0.69222264]
reaction_time:546ship_height:500,[0.67965415]
reaction_time:547ship_height:500,[0.67971668]
reaction_time:548ship_height:500,[0.68565796]
reaction_time:549ship_height:500,[0.68033822]
reaction_time:550ship_height:500,[0.67104969]
reaction_time:551ship_height:500,[0.66879451]
reaction_time:552ship_height:500,[0.6663923]
reaction_time:553ship_height:500,[0.6704915]
reaction_time:554ship_height:500,[0.66332702]
reaction_time:555ship_height:500,[0.65828823]
reaction_time:556ship_height:500,[0.65910217]
reaction_time:557ship_height:500,[0.65882607]
reaction_time:558ship_height:500,[0.65671681]
reaction_time:559ship_height:500,[0.6564632]
reaction_time:560ship_height:500,[0.64471104]
reaction_time:561ship_height:500,[0.65814548]
reaction_time:562ship_height:500,[0.64847556]
reaction_time:563ship_height:500,[0.6565206]
reaction_time:564ship_height:500,[0.64258046]
reaction_time:565ship_height:500,[0.64565559]
reaction_time:566ship_height:500,[0.64264644]
reaction_time:567ship_height:500,[0.65026209]
reaction_time:568ship_height:500,[0.63284226]
reaction_time:569ship_height:500,[0.6381949]
reaction_time:570ship_height:500,[0.64503734]
reaction_time:571ship_height:500,[0.63728649]
reaction_time:572ship_height:500,[0.6372515]
reaction_time:573ship_height:500,[0.63438455]
reaction_time:574ship_height:500,[0.62460913]
reaction_time:575ship_height:500,[0.63211212]
reaction_time:576ship_height:500,[0.63145775]
reaction_time:577ship_height:500,[0.6318545]
reaction_time:578ship_height:500,[0.63435326]
reaction_time:579ship_height:500,[0.60524299]
reaction_time:580ship_height:500,[0.62543889]
reaction_time:581ship_height:500,[0.62225555]
reaction_time:582ship_height:500,[0.6121666]
reaction_time:583ship_height:500,[0.6216125]
reaction_time:584ship_height:500,[0.61176216]
reaction_time:585ship_height:500,[0.61033367]
reaction_time:586ship_height:500,[0.61033963]
reaction_time:587ship_height:500,[0.61043004]
reaction_time:588ship_height:500,[0.60865262]
reaction_time:589ship_height:500,[0.59619189]
reaction_time:590ship_height:500,[0.61448232]
reaction_time:591ship_height:500,[0.59591426]
reaction_time:592ship_height:500,[0.60058347]
reaction_time:593ship_height:500,[0.59539742]
reaction_time:594ship_height:500,[0.59540957]
reaction_time:595ship_height:500,[0.5895223]
reaction_time:596ship_height:500,[0.59008859]
reaction_time:597ship_height:500,[0.58481197]
reaction_time:598ship_height:500,[0.57366887]
reaction_time:599ship_height:500,[0.5908745]
